Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State
4919,CA-2016-160304,02-01-2016,07-01-2016,Standard Class,BM-11575,Brendan Murry,Corporate,United States,Gaithersburg,Maryland
4920,CA-2016-160304,02-01-2016,07-01-2016,Standard Class,BM-11575,Brendan Murry,Corporate,United States,Gaithersburg,Maryland
3074,CA-2016-125206,03-01-2016,05-01-2016,First Class,LR-16915,Lena Radford,Consumer,United States,Los Angeles,California
8604,US-2016-116365,03-01-2016,08-01-2016,Standard Class,CA-12310,Christine Abelman,Corporate,United States,San Antonio,Texas
8605,US-2016-116365,03-01-2016,08-01-2016,Standard Class,CA-12310,Christine Abelman,Corporate,United States,San Antonio,Texas
8606,US-2016-116365,03-01-2016,08-01-2016,Standard Class,CA-12310,Christine Abelman,Corporate,United States,San Antonio,Texas
9494,CA-2016-105207,03-01-2016,08-01-2016,Standard Class,BO-11350,Bill Overfelt,Corporate,United States,Broken Arrow,Oklahoma
9495,CA-2016-105207,03-01-2016,08-01-2016,Standard Class,BO-11350,Bill Overfelt,Corporate,United States,Broken Arrow,Oklahoma
2898,US-2016-164630,04-01-2016,09-01-2016,Standard Class,EB-13975,Erica Bern,Corporate,United States,Charlotte,North Carolina
5868,CA-2016-158211,04-01-2016,08-01-2016,Standard Class,BP-11185,Ben Peterman,Corporate,United States,Philadelphia,Pennsylvania
5869,CA-2016-158211,04-01-2016,08-01-2016,Standard Class,BP-11185,Ben Peterman,Corporate,United States,Philadelphia,Pennsylvania
863,CA-2016-134474,05-01-2016,07-01-2016,Second Class,AJ-10795,Anthony Johnson,Corporate,United States,Jacksonville,Florida
864,CA-2016-134474,05-01-2016,07-01-2016,Second Class,AJ-10795,Anthony Johnson,Corporate,United States,Jacksonville,Florida
865,CA-2016-134474,05-01-2016,07-01-2016,Second Class,AJ-10795,Anthony Johnson,Corporate,United States,Jacksonville,Florida
2162,CA-2016-101938,07-01-2016,12-01-2016,Standard Class,DW-13480,Dianna Wilson,Home Office,United States,Oakland,California
8031,CA-2016-158806,07-01-2016,11-01-2016,Standard Class,NM-18520,Neoma Murray,Consumer,United States,Amarillo,Texas
8032,CA-2016-158806,07-01-2016,11-01-2016,Standard Class,NM-18520,Neoma Murray,Consumer,United States,Amarillo,Texas
6851,US-2016-100461,08-01-2016,12-01-2016,Standard Class,JO-15145,Jack O'Briant,Corporate,United States,Franklin,Wisconsin
6852,US-2016-100461,08-01-2016,12-01-2016,Standard Class,JO-15145,Jack O'Briant,Corporate,United States,Franklin,Wisconsin
7808,US-2016-137295,08-01-2016,13-01-2016,Standard Class,VS-21820,Vivek Sundaresam,Consumer,United States,Raleigh,North Carolina
7809,US-2016-137295,08-01-2016,13-01-2016,Standard Class,VS-21820,Vivek Sundaresam,Consumer,United States,Raleigh,North Carolina
7810,US-2016-137295,08-01-2016,13-01-2016,Standard Class,VS-21820,Vivek Sundaresam,Consumer,United States,Raleigh,North Carolina
3209,CA-2016-108882,09-01-2016,15-01-2016,Standard Class,LA-16780,Laura Armstrong,Corporate,United States,Fresno,California
3210,CA-2016-108882,09-01-2016,15-01-2016,Standard Class,LA-16780,Laura Armstrong,Corporate,United States,Fresno,California
3702,CA-2016-126543,09-01-2016,13-01-2016,Second Class,MF-17665,Maureen Fritzler,Corporate,United States,Toledo,Ohio
4667,CA-2016-116547,10-01-2016,17-01-2016,Standard Class,KB-16585,Ken Black,Corporate,United States,Seattle,Washington
4668,CA-2016-116547,10-01-2016,17-01-2016,Standard Class,KB-16585,Ken Black,Corporate,United States,Seattle,Washington
6970,CA-2016-163937,10-01-2016,13-01-2016,Second Class,JB-16000,Joy Bell-,Consumer,United States,Longview,Washington
1026,CA-2016-126529,11-01-2016,13-01-2016,Second Class,DE-13255,Deanra Eno,Home Office,United States,Springfield,Ohio
1027,CA-2016-126529,11-01-2016,13-01-2016,Second Class,DE-13255,Deanra Eno,Home Office,United States,Springfield,Ohio
1028,CA-2016-126529,11-01-2016,13-01-2016,Second Class,DE-13255,Deanra Eno,Home Office,United States,Springfield,Ohio
8522,CA-2016-141887,11-01-2016,15-01-2016,Standard Class,MP-17470,Mark Packer,Home Office,United States,Columbus,Ohio
7269,CA-2016-133368,14-01-2016,20-01-2016,Standard Class,AG-10675,Anna Gayman,Consumer,United States,Concord,North Carolina
7270,CA-2016-133368,14-01-2016,20-01-2016,Standard Class,AG-10675,Anna Gayman,Consumer,United States,Concord,North Carolina
2878,CA-2016-152072,15-01-2016,19-01-2016,Standard Class,Dp-13240,Dean percer,Home Office,United States,Westfield,New Jersey
2879,CA-2016-152072,15-01-2016,19-01-2016,Standard Class,Dp-13240,Dean percer,Home Office,United States,Westfield,New Jersey
2880,CA-2016-152072,15-01-2016,19-01-2016,Standard Class,Dp-13240,Dean percer,Home Office,United States,Westfield,New Jersey
3236,CA-2016-140746,15-01-2016,15-01-2016,Same Day,RC-19825,Roy Collins,Consumer,United States,Fairfield,Connecticut
3742,CA-2016-137848,15-01-2016,21-01-2016,Standard Class,WB-21850,William Brown,Consumer,United States,New York City,New York
3743,CA-2016-137848,15-01-2016,21-01-2016,Standard Class,WB-21850,William Brown,Consumer,United States,New York City,New York
3744,CA-2016-137848,15-01-2016,21-01-2016,Standard Class,WB-21850,William Brown,Consumer,United States,New York City,New York
5968,CA-2016-166912,15-01-2016,17-01-2016,First Class,BE-11335,Bill Eplett,Home Office,United States,New York City,New York
26,CA-2016-121755,16-01-2016,20-01-2016,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California
27,CA-2016-121755,16-01-2016,20-01-2016,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California
876,CA-2016-116736,17-01-2016,21-01-2016,Standard Class,CC-12430,Chuck Clark,Home Office,United States,Concord,New Hampshire
877,CA-2016-116736,17-01-2016,21-01-2016,Standard Class,CC-12430,Chuck Clark,Home Office,United States,Concord,New Hampshire
878,CA-2016-116736,17-01-2016,21-01-2016,Standard Class,CC-12430,Chuck Clark,Home Office,United States,Concord,New Hampshire
2303,CA-2016-106558,17-01-2016,21-01-2016,Standard Class,DL-13495,Dionis Lloyd,Corporate,United States,Columbus,Georgia
2876,US-2016-167339,21-01-2016,23-01-2016,Second Class,TD-20995,Tamara Dahlen,Consumer,United States,San Diego,California
2877,US-2016-167339,21-01-2016,23-01-2016,Second Class,TD-20995,Tamara Dahlen,Consumer,United States,San Diego,California
268,CA-2016-111010,22-01-2016,28-01-2016,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Morristown,New Jersey
2471,US-2016-135923,22-01-2016,28-01-2016,Standard Class,CM-11935,Carlos Meador,Consumer,United States,Fayetteville,North Carolina
2472,US-2016-135923,22-01-2016,28-01-2016,Standard Class,CM-11935,Carlos Meador,Consumer,United States,Fayetteville,North Carolina
2473,US-2016-135923,22-01-2016,28-01-2016,Standard Class,CM-11935,Carlos Meador,Consumer,United States,Fayetteville,North Carolina
2694,CA-2016-138079,22-01-2016,28-01-2016,Standard Class,AJ-10795,Anthony Johnson,Corporate,United States,Seattle,Washington
5675,CA-2016-146318,22-01-2016,27-01-2016,Standard Class,MC-17275,Marc Crier,Consumer,United States,Seattle,Washington
5752,CA-2016-125850,22-01-2016,28-01-2016,Standard Class,FP-14320,Frank Preis,Consumer,United States,San Diego,California
5753,CA-2016-125850,22-01-2016,28-01-2016,Standard Class,FP-14320,Frank Preis,Consumer,United States,San Diego,California
6229,CA-2016-148208,22-01-2016,27-01-2016,Standard Class,BT-11530,Bradley Talbott,Home Office,United States,Cleveland,Ohio
6230,CA-2016-148208,22-01-2016,27-01-2016,Standard Class,BT-11530,Bradley Talbott,Home Office,United States,Cleveland,Ohio
6238,US-2016-155180,22-01-2016,29-01-2016,Standard Class,TB-21280,Toby Braunhardt,Consumer,United States,New York City,New York
7294,CA-2016-113656,23-01-2016,29-01-2016,Standard Class,CB-12415,Christy Brittain,Consumer,United States,Los Angeles,California
9147,US-2016-165505,23-01-2016,27-01-2016,Standard Class,CB-12535,Claudia Bergmann,Corporate,United States,Burlington,Vermont
9148,US-2016-165505,23-01-2016,27-01-2016,Standard Class,CB-12535,Claudia Bergmann,Corporate,United States,Burlington,Vermont
9149,US-2016-165505,23-01-2016,27-01-2016,Standard Class,CB-12535,Claudia Bergmann,Corporate,United States,Burlington,Vermont
4612,CA-2016-109407,24-01-2016,26-01-2016,Second Class,HG-14965,Henry Goldwyn,Corporate,United States,Gulfport,Mississippi
4327,CA-2016-153346,25-01-2016,27-01-2016,First Class,TB-21355,Todd Boyes,Corporate,United States,Plainfield,New Jersey
4328,CA-2016-153346,25-01-2016,27-01-2016,First Class,TB-21355,Todd Boyes,Corporate,United States,Plainfield,New Jersey
9358,CA-2016-168046,25-01-2016,28-01-2016,Second Class,JD-15895,Jonathan Doherty,Corporate,United States,New York City,New York
